Date,Roommate,Task,Time_Taken,Completed,Effort_Score,Day of Week,Week Number,Completed Flag (for calculations),Helper column,Missed Task Flag
2026-03-01,A,Cooking,49,Yes,8.45,Sunday,1,1,1,0
2026-03-01,B,Cleaning,46,No,4.3,Sunday,1,0,0,1
2026-03-01,C,Trash,14,Yes,2.7,Sunday,1,1,1,0
2026-03-01,D,Dishwasher,14,No,0.7,Sunday,1,0,0,1
2026-03-01,E,Vacuum,46,Yes,6.3,Sunday,1,1,1,0
2026-03-01,F,Cooking,53,Yes,8.65,Sunday,1,1,1,0
2026-03-02,A,Cooking,32,Yes,7.6,Monday,1,1,1,0
2026-03-02,B,Cleaning,27,Yes,6.35,Monday,1,1,1,0
2026-03-02,C,Trash,7,Yes,2.35,Monday,1,1,1,0
2026-03-02,D,Dishwasher,24,Yes,4.2,Monday,1,1,1,0
2026-03-02,E,Vacuum,23,Yes,5.15,Monday,1,1,1,0
2026-03-02,F,Cooking,41,Yes,8.05,Monday,1,1,1,0
2026-03-03,A,Cooking,40,Yes,8,Tuesday,1,1,1,0
2026-03-03,B,Cleaning,58,Yes,7.9,Tuesday,1,1,1,0
2026-03-03,C,Trash,15,Yes,2.75,Tuesday,1,1,1,0
2026-03-03,D,Dishwasher,11,No,0.55,Tuesday,1,0,0,1
2026-03-03,E,Vacuum,50,Yes,6.5,Tuesday,1,1,1,0
2026-03-03,F,Cooking,43,Yes,8.15,Tuesday,1,1,1,0
2026-03-04,A,Cooking,56,Yes,8.8,Wednesday,1,1,1,0
2026-03-04,B,Cleaning,51,Yes,7.55,Wednesday,1,1,1,0
2026-03-04,C,Trash,9,Yes,2.45,Wednesday,1,1,1,0
2026-03-04,D,Dishwasher,23,Yes,4.15,Wednesday,1,1,1,0
2026-03-04,E,Vacuum,39,Yes,5.95,Wednesday,1,1,1,0
2026-03-04,F,Cooking,59,No,5.95,Wednesday,1,0,0,1
2026-03-05,A,Cooking,46,Yes,8.3,Thursday,1,1,1,0
2026-03-05,B,Cleaning,32,Yes,6.6,Thursday,1,1,1,0
2026-03-05,C,Trash,14,Yes,2.7,Thursday,1,1,1,0
2026-03-05,D,Dishwasher,23,No,1.15,Thursday,1,0,0,1
2026-03-05,E,Vacuum,32,Yes,5.6,Thursday,1,1,1,0
2026-03-05,F,Cooking,40,Yes,8,Thursday,1,1,1,0
2026-03-06,A,Cooking,52,Yes,8.6,Friday,1,1,1,0
2026-03-06,B,Cleaning,32,Yes,6.6,Friday,1,1,1,0
2026-03-06,C,Trash,12,No,-0.4,Friday,1,0,0,1
2026-03-06,D,Dishwasher,18,Yes,3.9,Friday,1,1,1,0
2026-03-06,E,Vacuum,32,Yes,5.6,Friday,1,1,1,0
2026-03-06,F,Cooking,64,No,6.2,Friday,1,0,0,1
2026-03-07,A,Cooking,59,Yes,8.95,Saturday,1,1,1,0
2026-03-07,B,Cleaning,60,Yes,8,Saturday,1,1,1,0
2026-03-07,C,Trash,8,Yes,2.4,Saturday,1,1,1,0
2026-03-07,D,Dishwasher,14,Yes,3.7,Saturday,1,1,1,0
2026-03-07,E,Vacuum,52,No,3.6,Saturday,1,0,0,1
2026-03-07,F,Cooking,46,Yes,8.3,Saturday,1,1,1,0
2026-03-08,A,Cleaning,41,No,4.05,Sunday,2,0,0,1
2026-03-08,B,Trash,12,Yes,2.6,Sunday,2,1,1,0
2026-03-08,C,Dishwasher,12,Yes,3.6,Sunday,2,1,1,0
2026-03-08,D,Vacuum,31,Yes,5.55,Sunday,2,1,1,0
2026-03-08,E,Cooking,105,No,8.25,Sunday,2,0,0,1
2026-03-08,F,Cooking,55,No,5.75,Sunday,2,0,0,1
2026-03-09,A,Cleaning,43,Yes,7.15,Monday,2,1,1,0
2026-03-09,B,Trash,10,Yes,2.5,Monday,2,1,1,0
2026-03-09,C,Dishwasher,22,Yes,4.1,Monday,2,1,1,0
2026-03-09,D,Vacuum,32,Yes,5.6,Monday,2,1,1,0
2026-03-09,E,Cooking,58,Yes,8.9,Monday,2,1,1,0
2026-03-09,F,Cooking,61,Yes,9.05,Monday,2,1,1,0
2026-03-10,A,Cleaning,44,Yes,7.2,Tuesday,2,1,1,0
2026-03-10,B,Trash,9,Yes,2.45,Tuesday,2,1,1,0
2026-03-10,C,Dishwasher,20,Yes,4,Tuesday,2,1,1,0
2026-03-10,D,Vacuum,16,Yes,4.8,Tuesday,2,1,1,0
2026-03-10,E,Cooking,67,No,6.35,Tuesday,2,0,0,1
2026-03-10,F,Cooking,66,Yes,9.3,Tuesday,2,1,1,0
2026-03-11,A,Cleaning,22,Yes,6.1,Wednesday,2,1,1,0
2026-03-11,B,Trash,11,Yes,2.55,Wednesday,2,1,1,0
2026-03-11,C,Dishwasher,17,No,0.85,Wednesday,2,0,0,1
2026-03-11,D,Vacuum,36,Yes,5.8,Wednesday,2,1,1,0
2026-03-11,E,Cooking,94,Yes,10.7,Wednesday,2,1,1,0
2026-03-11,F,Cooking,58,Yes,8.9,Wednesday,2,1,1,0
2026-03-12,A,Cleaning,38,Yes,6.9,Thursday,2,1,1,0
2026-03-12,B,Trash,15,Yes,2.75,Thursday,2,1,1,0
2026-03-12,C,Dishwasher,22,Yes,4.1,Thursday,2,1,1,0
2026-03-12,D,Vacuum,21,Yes,5.05,Thursday,2,1,1,0
2026-03-12,E,Cooking,110,Yes,11.5,Thursday,2,1,1,0
2026-03-12,F,Cooking,44,Yes,8.2,Thursday,2,1,1,0
2026-03-13,A,Cleaning,25,Yes,6.25,Friday,2,1,1,0
2026-03-13,B,Trash,8,Yes,2.4,Friday,2,1,1,0
2026-03-13,C,Dishwasher,12,Yes,3.6,Friday,2,1,1,0
2026-03-13,D,Vacuum,21,Yes,5.05,Friday,2,1,1,0
2026-03-13,E,Cooking,63,Yes,9.15,Friday,2,1,1,0
2026-03-13,F,Cooking,90,Yes,10.5,Friday,2,1,1,0
2026-03-14,A,Cleaning,40,No,4,Saturday,2,0,0,1
2026-03-14,B,Trash,13,Yes,2.65,Saturday,2,1,1,0
2026-03-14,C,Dishwasher,12,No,0.6,Saturday,2,0,0,1
2026-03-14,D,Vacuum,19,Yes,4.95,Saturday,2,1,1,0
2026-03-14,E,Cooking,68,Yes,9.4,Saturday,2,1,1,0
2026-03-14,F,Cooking,79,Yes,9.95,Saturday,2,1,1,0
2026-03-15,A,Trash,8,Yes,2.4,Sunday,3,1,1,0
2026-03-15,B,Dishwasher,11,No,0.55,Sunday,3,0,0,1
2026-03-15,C,Vacuum,38,Yes,5.9,Sunday,3,1,1,0
2026-03-15,D,Cooking,68,Yes,9.4,Sunday,3,1,1,0
2026-03-15,E,Cooking,81,No,7.05,Sunday,3,0,0,1
2026-03-15,F,Cleaning,49,No,4.45,Sunday,3,0,0,1
2026-03-16,A,Trash,4,Yes,2.2,Monday,3,1,1,0
2026-03-16,B,Dishwasher,20,No,1,Monday,3,0,0,1
2026-03-16,C,Vacuum,21,Yes,5.05,Monday,3,1,1,0
2026-03-16,D,Cooking,80,No,7,Monday,3,0,0,1
2026-03-16,E,Cooking,75,Yes,9.75,Monday,3,1,1,0
2026-03-16,F,Cleaning,23,Yes,6.15,Monday,3,1,1,0
2026-03-17,A,Trash,5,Yes,2.25,Tuesday,3,1,1,0
2026-03-17,B,Dishwasher,10,No,0.5,Tuesday,3,0,0,1
2026-03-17,C,Vacuum,35,Yes,5.75,Tuesday,3,1,1,0
2026-03-17,D,Cooking,58,No,5.9,Tuesday,3,0,0,1
2026-03-17,E,Cooking,88,Yes,10.4,Tuesday,3,1,1,0
2026-03-17,F,Cleaning,53,Yes,7.65,Tuesday,3,1,1,0
2026-03-18,A,Trash,10,Yes,2.5,Wednesday,3,1,1,0
2026-03-18,B,Dishwasher,17,Yes,3.85,Wednesday,3,1,1,0
2026-03-18,C,Vacuum,23,No,2.15,Wednesday,3,0,0,1
2026-03-18,D,Cooking,66,No,6.3,Wednesday,3,0,0,1
2026-03-18,E,Cooking,76,Yes,9.8,Wednesday,3,1,1,0
2026-03-18,F,Cleaning,54,Yes,7.7,Wednesday,3,1,1,0
2026-03-19,A,Trash,8,Yes,2.4,Thursday,3,1,1,0
2026-03-19,B,Dishwasher,13,Yes,3.65,Thursday,3,1,1,0
2026-03-19,C,Vacuum,24,Yes,5.2,Thursday,3,1,1,0
2026-03-19,D,Cooking,85,Yes,10.25,Thursday,3,1,1,0
2026-03-19,E,Cooking,59,Yes,8.95,Thursday,3,1,1,0
2026-03-19,F,Cleaning,35,Yes,6.75,Thursday,3,1,1,0
2026-03-20,A,Trash,8,Yes,2.4,Friday,3,1,1,0
2026-03-20,B,Dishwasher,11,Yes,3.55,Friday,3,1,1,0
2026-03-20,C,Vacuum,40,No,3,Friday,3,0,0,1
2026-03-20,D,Cooking,44,Yes,8.2,Friday,3,1,1,0
2026-03-20,E,Cooking,76,Yes,9.8,Friday,3,1,1,0
2026-03-20,F,Cleaning,50,Yes,7.5,Friday,3,1,1,0
2026-03-21,A,Trash,11,Yes,2.55,Saturday,3,1,1,0
